circ_id	SRR1297303	SRR1297304	SRR1297305	SRR1297306	SRR1297307	SRR1297308	SRR1297309	SRR1297310	SRR1297311	SRR1297312	SRR1297313	SRR1297314	SRR1297315	SRR1297316	SRR1297317
10:125988550-126008550	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
10:126970701-126990603	0	0	2	1	0	1	3	1	8	7	0	2	4	1	0
10:126970701-127000307	2	5	5	10	0	0	4	1	6	1	4	4	4	3	4
10:126970701-127037816	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
10:126970701-127127764	0	5	6	11	3	16	3	0	1	2	3	1	0	2	0
10:126970701-127248109	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1
10:126970701-127257429	0	0	1	2	1	1	0	0	1	0	0	0	0	0	0
10:126996747-126999435	1	0	0	0	0	0	4	0	1	0	1	0	0	1	0
10:126996747-127000307	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0
10:127008731-127012374	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
10:127008731-127037816	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
10:127042624-127061776	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0
10:127052680-127061776	0	0	0	0	0	0	2	1	0	0	0	0	2	0	1
10:128060938-128066194	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
10:130079565-130079901	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
10:130166506-130171636	0	0	1	2	0	0	0	1	0	1	0	0	3	0	0
10:13116266-13122487	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
10:13127744-13136897	5	4	2	0	0	0	2	2	2	1	0	3	1	0	0
10:131934457-131947791	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
10:132347983-132355886	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
10:132690391-132710456	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
10:132916548-132916682	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1
10:133476901-133498005	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
10:13659322-13663509	0	0	0	0	2	0	0	1	2	1	0	0	1	0	1
10:13663452-13675044	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0
10:14848608-14870667	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14896845-14897517	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0
10:14922980-14935564	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15531049-15592304	0	0	2	0	1	0	0	0	1	2	0	0	0	1	0
10:15548454-15586664	0	1	1	5	0	0	1	1	4	1	1	2	0	3	1
10:15548454-15592304	1	0	0	4	2	0	1	0	0	3	1	0	0	0	0
10:15558073-15597299	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0
10:15558073-15660922	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
10:15572210-15586664	0	0	3	1	0	0	0	1	2	2	1	0	0	1	0
10:15572210-15592304	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
